depth1,depth2,depth3,depth4
1,8,165,2952
0,6,133,1934
0,9,82,1046
1,6,63,1254
0,2,39,505
0,4,32,222
1,4,43,753
0,1,18,184
0,3,31,201
0,3,17,178
1,1,9,103
0,1,18,74
0,5,16,145
0,5,60,417
1,6,54,375
0,7,43,274
1,6,26,186
0,2,19,58
0,2,10,47
0,1,7,33
0,3,15,61
0,1,8,36
1,1,5,19
0,1,5,27
0,1,7,23
0,2,5,19
0,1,6,29
0,1,5,19
0,0,2,3
0,1,1,3
0,0,0,1
0,0,1,0
0,0,1,2
0,0,0,0
0,0,0,1
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8,104,1237
1,8,107,2672
1,10,211,4260
0,17,349,6907
2,28,579,10559
1,22,424,6821
2,19,340,3582
1,15,178,2691
1,9,148,2041
0,8,124,2538
1,12,264,4435
1,16,311,4456
0,18,268,4637
1,13,245,4237
1,14,264,6560
1,17,445,9122
1,24,478,8413
1,24,464,6501
0,14,215,4487
1,8,165,3404
0,14,334,3351
1,25,264,5582
1,12,264,7362
1,11,358,6647
0,25,509,7173
2,29,448,5417
1,17,211,6958
0,9,327,5063
1,24,377,7612
2,31,576,9066
0,14,248,7430
1,16,513,8033
1,23,384,3338
1,29,274,5680
1,8,157,5207
1,8,267,4396
1,31,565,8602
2,19,316,5179
0,9,153,6178
1,13,564,9226
1,36,628,9669
2,38,627,11317
0,14,281,11914
1,17,733,12264
1,50,929,20715
2,43,1105,21412
1,14,279,13690
1,27,1434,22718
1,59,1016,25111
3,50,1301,20399
1,25,381,17140
1,19,830,11218
0,36,538,16359
2,32,998,14801
1,23,367,16533
2,26,1256,11981
0,39,406,9240
3,26,598,14027
0,12,249,9077
1,16,679,6000
2,46,437,9681
2,17,475,8554
0,12,279,11630
1,24,1122,14050
1,38,563,11050
2,30,637,13551
1,15,357,16327
1,20,1020,20616
1,45,826,22546
2,44,1203,18309
0,23,351,11380
1,16,500,5412
1,16,190,4004
1,16,360,5315
1,12,180,6229
1,19,572,12789
0,23,554,12287
2,35,726,12933
1,18,282,9184
0,11,367,4943
1,25,363,4866
1,21,310,4370
1,10,131,3952
0,7,225,2821
1,14,92,1197
1,8,116,1602
1,4,54,1376
0,9,250,2520
1,9,93,1124
0,8,73,863
1,2,32,594
0,4,66,303
0,6,30,258
1,3,27,358
0,1,8,130
0,2,34,109
0,6,20,135
1,2,14,175
0,1,7,84
0,2,21,168
0,2,19,99
0,1,5,26
1,0,2,13
0,1,7,56
0,1,7,34
0,1,13,55
0,3,7,42
0,0,4,17
0,0,2,10
0,1,3,20
1,0,2,11
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,9,105,1250
1,8,102,2171
1,9,173,2922
1,14,232,4586
1,17,335,4992
1,14,229,2807
3,12,156,2451
0,8,138,2870
1,5,104,1864
0,9,151,2715
1,16,311,6203
2,19,418,13318
1,21,606,13250
1,29,713,16148
1,33,794,11304
1,28,408,16596
2,17,730,16609
1,34,811,24287
2,56,1772,31899
1,44,831,29969
2,32,1170,24135
1,32,713,16630
1,26,670,10046
1,22,451,7609
1,19,435,12950
1,16,572,14652
1,38,1222,17805
2,54,1057,23444
1,20,592,13145
0,23,572,11597
2,30,678,11032
0,21,384,5685
1,15,250,4793
1,13,281,9087
0,8,273,4744
1,24,417,4299
1,24,309,4685
1,8,176,4671
0,7,233,4972
1,26,654,5260
1,36,367,7325
1,9,271,7209
1,8,254,2692
0,33,436,1247
2,13,43,661
0,1,22,577
0,2,43,594
0,13,229,1577
2,19,161,2388
0,4,63,1676
0,4,109,2024
1,12,236,1703
1,15,119,2890
1,4,125,2133
0,6,125,1994
1,17,344,2835
1,12,108,1601
0,4,63,1094
0,4,70,1075
1,9,158,323
0,11,27,458
1,1,15,100
0,1,13,148
0,8,98,662
1,4,27,315
0,2,26,326
0,2,21,229
0,3,40,188
1,3,16,163
0,2,15,224
0,1,24,310
0,5,62,406
1,8,65,1121
0,3,56,425
0,3,23,268
1,3,40,313
0,2,20,194
0,3,28,189
0,1,6,61
0,1,12,109
1,2,19,188
0,4,37,216
0,2,11,180
0,1,26,57
0,3,6,21
1,1,5,22
0,0,1,10
0,1,5,45
0,1,15,112
0,3,22,142
1,2,13,104
0,1,10,58
0,1,6,30
0,1,6,34
0,0,2,15
0,1,3,12
0,1,7,45
1,1,6,45
0,1,0,3
0,0,2,6
0,0,0,2
0,1,2,7
0,0,2,7
0,1,1,2
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,9,105,1235
1,8,103,2128
0,9,187,3868
1,15,324,6853
1,25,560,11071
1,22,469,12539
2,26,765,11790
1,34,583,13465
2,26,601,20014
1,21,765,18626
1,46,1150,19743
2,41,735,11848
0,20,300,7553
2,13,353,6467
1,21,372,7525
1,24,447,7874
1,18,341,9910
2,22,687,10776
2,43,649,13699
1,28,652,13264
1,24,334,8268
1,23,476,11286
1,20,463,13990
1,39,1160,13336
1,42,522,14177
1,17,420,9999
1,16,408,12265
1,35,1099,10557
1,39,388,12361
2,15,510,13452
0,18,491,11824
2,42,1088,14209
1,32,470,15154
2,19,637,15399
0,21,513,10195
2,31,717,10714
1,25,374,8735
1,15,374,6430
1,18,345,6994
1,22,517,9465
1,19,340,9242
1,9,249,3898
0,12,200,3623
1,20,400,4125
1,13,165,3435
1,10,214,3564
0,9,178,2345
1,19,263,3491
1,6,92,2543
0,3,95,1743
0,12,214,2049
1,16,172,1508
1,6,55,906
0,3,65,1620
0,7,211,1672
1,20,158,1486
1,5,55,907
0,2,33,739
0,4,107,1236
1,15,181,543
0,11,38,506
1,2,20,355
0,2,28,346
0,9,106,1004
1,6,64,993
0,3,58,952
0,5,85,1016
1,10,151,597
0,7,34,699
1,2,33,654
0,3,46,327
1,13,105,1206
0,5,61,1285
1,3,71,1199
0,6,68,784
0,8,103,961
1,3,41,762
0,2,53,433
0,7,68,270
1,6,24,129
0,0,4,39
0,1,4,28
0,1,13,87
1,4,32,274
0,2,20,528
0,2,49,183
0,6,23,63
1,3,9,82
1,0,1,28
0,1,7,36
0,4,32,127
1,2,10,36
0,1,2,20
0,0,3,14
0,1,4,14
0,2,5,29
0,0,3,15
0,1,2,11
0,0,2,12
0,1,1,2
1,0,1,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,9,107,1233
0,9,97,1484
1,8,124,2174
0,10,173,2784
1,12,230,4062
1,14,248,4613
1,13,278,3982
1,14,216,3341
1,14,244,5143
1,11,218,6211
0,14,468,7335
1,32,532,10682
2,23,474,7021
0,14,250,9409
1,17,672,12587
1,34,734,14232
2,40,801,15700
1,16,345,11821
1,19,731,12521
1,44,782,19358
2,34,883,21080
1,22,610,18698
1,33,1090,12547
1,39,528,7939
3,23,357,9835
0,9,259,7252
1,24,720,15307
1,52,1184,23333
2,41,991,27832
1,25,761,11793
1,32,545,8027
1,18,284,5497
1,12,200,7132
1,10,396,9473
0,31,662,16484
2,41,1126,16319
1,31,486,21818
2,20,895,13764
0,36,560,15088
2,33,857,15697
1,9,171,5338
1,23,839,11713
0,18,239,4133
1,13,260,3056
1,12,151,2819
1,10,212,2565
0,11,145,3068
1,11,249,3490
0,11,157,3065
1,12,281,1755
0,8,54,928
1,4,44,774
0,2,50,383
1,6,64,472
1,3,25,584
0,2,62,858
0,10,129,934
1,12,104,700
1,2,17,434
0,2,47,636
0,3,48,287
0,8,47,408
1,2,24,313
0,2,21,193
0,2,25,183
1,4,32,460
0,1,12,101
0,2,26,106
0,3,13,156
0,0,5,42
0,2,3,7
0,0,2,10
1,1,1,5
0,0,2,13
0,1,3,13
0,0,2,6
0,1,2,4
0,0,0,1
0,0,0,1
0,0,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
